city,cityLabel,countryLabel,population,image,article
"http://www.wikidata.org/entity/Q1754","Stockholm","Sverige","984748","http://commons.wikimedia.org/wiki/Special:FilePath/Stockholm%20gamlastan%20etc.jpg","https://no.wikipedia.org/wiki/Stockholm"
"http://www.wikidata.org/entity/Q1757","Helsingfors","Finland","686595","http://commons.wikimedia.org/wiki/Special:FilePath/Helsinki%20Lutheran%20Cathedral%20%28panoraaman%C3%A4k%C3%B6ala%29-2%20%28s%C3%A4%C3%A4t%C3%B6%29.jpg","https://no.wikipedia.org/wiki/Helsingfors"
"http://www.wikidata.org/entity/Q1748","Köpenhamn","Danmark","667099","http://commons.wikimedia.org/wiki/Special:FilePath/Copenhagen%20-%20view%20from%20Christiansborg%20castle.jpg","https://no.wikipedia.org/wiki/K%C3%B8benhavn"
"http://www.wikidata.org/entity/Q2211","Malmö","Sverige","339316","http://commons.wikimedia.org/wiki/Special:FilePath/Centrala%20Malm%C3%B6.jpg","https://no.wikipedia.org/wiki/Malm%C3%B6"
"http://www.wikidata.org/entity/Q47034","Esbo","Finland","314821","http://commons.wikimedia.org/wiki/Special:FilePath/Keilaniemi%20ranta%20Espoo%20191021.png","https://no.wikipedia.org/wiki/Esbo"
"http://www.wikidata.org/entity/Q26793","Bergen","Norge","291189","http://commons.wikimedia.org/wiki/Special:FilePath/00%204400%20View%20over%20the%20store%20Lungeg%C3%A5rdsvann%20-%20Bergen%20%28Norway%29.jpg","https://no.wikipedia.org/wiki/Bergen"
"http://www.wikidata.org/entity/Q40840","Tammerfors","Finland","255333","http://commons.wikimedia.org/wiki/Special:FilePath/Tammerkoski%202021.jpg","https://no.wikipedia.org/wiki/Tammerfors"
"http://www.wikidata.org/entity/Q127623","Vanda","Finland","248199","http://commons.wikimedia.org/wiki/Special:FilePath/Alepa%20bicycles%20at%20Ulrikankuja%20in%20Asola%2C%20Vantaa%2C%20Finland%2C%202021%20May.jpg","https://no.wikipedia.org/wiki/Vanda"
"http://www.wikidata.org/entity/Q47048","Uleåborg","Finland","214814","http://commons.wikimedia.org/wiki/Special:FilePath/Oulu%20City%20Hall%202018.jpg","https://no.wikipedia.org/wiki/Ule%C3%A5borg"
"http://www.wikidata.org/entity/Q38511","Åbo","Finland","206420","http://commons.wikimedia.org/wiki/Special:FilePath/Turku%20Cathedral%20Park%202020.jpg","https://no.wikipedia.org/wiki/%C3%85bo"
