item,itemLabel,image,article,aar,imageAuthor,imageLicense,imageLicenseUrl
"http://www.wikidata.org/entity/Q130921","Abelisaurus","http://commons.wikimedia.org/wiki/Special:FilePath/Abelisaurus%20comahuensis.JPG","https://nn.wikipedia.org/wiki/Abelisaurus","1985","Kokoo","CC BY-SA 2.5","https://creativecommons.org/licenses/by-sa/2.5"
"http://www.wikidata.org/entity/Q131583","Alamosaurus","http://commons.wikimedia.org/wiki/Special:FilePath/Alamosaurus-sanjuanensis.jpg","https://no.wikipedia.org/wiki/Alamosaurus","1922","Alamotitan","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0"
"http://www.wikidata.org/entity/Q40751","Albertosaurus","http://commons.wikimedia.org/wiki/Special:FilePath/Drumheller%20150.jpg","https://no.wikipedia.org/wiki/Albertosaurus","1905","Sebastian Bergmann from Siegburg, Germany","CC BY-SA 2.0","https://creativecommons.org/licenses/by-sa/2.0"
"http://www.wikidata.org/entity/Q14400","Allosaurus","http://commons.wikimedia.org/wiki/Special:FilePath/Allosaurus%20Juvenile%20Reconstruction.jpg","https://nn.wikipedia.org/wiki/Allosaurus","1877","Fred Wierum","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0"
"http://www.wikidata.org/entity/Q131091","Amphicoelias","http://commons.wikimedia.org/wiki/Special:FilePath/Amphicoelias%20Holotype%20Vertebra.jpg","https://no.wikipedia.org/wiki/Amphicoelias","1878","Philip D. Mannion, Emanuel Tschopp and John A. Whitlock","CC BY 4.0","https://creativecommons.org/licenses/by/4.0"
"http://www.wikidata.org/entity/Q311281","Anchisaurus","http://commons.wikimedia.org/wiki/Special:FilePath/Anchisaurus%20NT.jpg","https://nn.wikipedia.org/wiki/Anchisaurus","1885","Nobu Tamura ( http://spinops.blogspot.com )","CC BY-SA 3.0","https://creativecommons.org/licenses/by-sa/3.0"
"http://www.wikidata.org/entity/Q40621","Ankylosaurus","http://commons.wikimedia.org/wiki/Special:FilePath/Ankylosaur%20head%20-%20cast%20-%20Custer%20County%20Montana%20-%20Museum%20of%20the%20Rockies%20-%202013-07-08.jpg","https://nn.wikipedia.org/wiki/Ankylosaurus","1908","Tim Evanson","CC BY-SA 2.0","https://creativecommons.org/licenses/by-sa/2.0"
"http://www.wikidata.org/entity/Q14326","Apatosaurus","http://commons.wikimedia.org/wiki/Special:FilePath/Louisae.jpg","https://nn.wikipedia.org/wiki/Apatosaurus","1877","Tadek Kurpaski from London, Poland","CC BY 2.0","https://creativecommons.org/licenses/by/2.0"
"http://www.wikidata.org/entity/Q100196","Archaeopteryx","http://commons.wikimedia.org/wiki/Special:FilePath/Berlin%20Archaeopteryx.jpg","https://nn.wikipedia.org/wiki/Archaeopteryx","1861","Emily Willoughby (emily.a.willoughby@gmail.com)","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0"
"http://www.wikidata.org/entity/Q130859","Argentinosaurus","http://commons.wikimedia.org/wiki/Special:FilePath/Argentinosaurus%20DSC%202943.jpg","https://no.wikipedia.org/wiki/Argentinosaurus","1993","Eva K.","GFDL 1.2","https://www.gnu.org/licenses/old-licenses/fdl-1.2.html"
"http://www.wikidata.org/entity/Q309390","Barosaurus","http://commons.wikimedia.org/wiki/Special:FilePath/Barosaurus%20DC.jpg","https://no.wikipedia.org/wiki/Barosaurus","1890","Danny Cicchetti","CC BY-SA 3.0","https://creativecommons.org/licenses/by-sa/3.0"
"http://www.wikidata.org/entity/Q131006","Baryonyx","http://commons.wikimedia.org/wiki/Special:FilePath/Baryonix%20skull%2043553.JPG","https://no.wikipedia.org/wiki/Baryonyx","1986","Ghedoghedo","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0"
"http://www.wikidata.org/entity/Q29947914","Borealopelta","http://commons.wikimedia.org/wiki/Special:FilePath/Nodosaur.jpg","https://no.wikipedia.org/wiki/Borealopelta","","ケラトプスユウタ","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0"
"http://www.wikidata.org/entity/Q14397","Brachiosaurus","http://commons.wikimedia.org/wiki/Special:FilePath/Brachiosaurus%20mount.jpg","https://nn.wikipedia.org/wiki/Brachiosaurus","1903","Matt Wedel","CC BY 3.0","https://creativecommons.org/licenses/by/3.0"
"http://www.wikidata.org/entity/Q3222766","Brontosaurus","http://commons.wikimedia.org/wiki/Special:FilePath/Brontosaurus%20Yale%20Peabody%20cropped.jpg","https://no.wikipedia.org/wiki/Brontosaurus","1879","Ad Meskens","CC BY-SA 3.0","https://creativecommons.org/licenses/by-sa/3.0"
"http://www.wikidata.org/entity/Q18510948","Carnotaurus","http://commons.wikimedia.org/wiki/Special:FilePath/Carnotaurus%20Reconstruction%20%282022%29.png","https://no.wikipedia.org/wiki/Carnotaurus","1985","Fred Wierum","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0"
"http://www.wikidata.org/entity/Q131589","Centrosaurus","http://commons.wikimedia.org/wiki/Special:FilePath/Centrosaurus%20dinosaur.png","https://no.wikipedia.org/wiki/Centrosaurus","1904","LadyofHats","Public domain",""
"http://www.wikidata.org/entity/Q130902","Ceratosaurus","http://commons.wikimedia.org/wiki/Special:FilePath/Ceratosaurus%20NT.jpg","https://no.wikipedia.org/wiki/Ceratosaurus","1884","NobuTamura email:nobu.tamura@yahoo.com","CC BY-SA 3.0","https://creativecommons.org/licenses/by-sa/3.0"
"http://www.wikidata.org/entity/Q309392","Coelophysis","http://commons.wikimedia.org/wiki/Special:FilePath/Coelophysis%20%281%29.jpg","https://no.wikipedia.org/wiki/Coelophysis","1889","Matt Celeskey from Albuquerque","CC BY-SA 2.0","https://creativecommons.org/licenses/by-sa/2.0"
"http://www.wikidata.org/entity/Q130880","Compsognathus","http://commons.wikimedia.org/wiki/Special:FilePath/Compsognathus%20TD.png","https://no.wikipedia.org/wiki/Compsognathus","1859","TotalDino","CC BY 4.0","https://creativecommons.org/licenses/by/4.0"
"http://www.wikidata.org/entity/Q14405","Deinonychus","http://commons.wikimedia.org/wiki/Special:FilePath/Deinonychus%20FMNH.jpg","https://no.wikipedia.org/wiki/Deinonychus","1969","Jonathan Chen","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0"
