"aircraft","aircraftLabel","passengers","image","article"
"http://www.wikidata.org/entity/Q647341","14-bis","","http://commons.wikimedia.org/wiki/Special:FilePath/14-bis%20de%20Alberto%20Santos%20Dumont.jpg",""
"http://www.wikidata.org/entity/Q2819047","Ace K-1","","http://commons.wikimedia.org/wiki/Special:FilePath/Ace%20K-1july55%20%284512846721%29.jpg",""
"http://www.wikidata.org/entity/Q2824065","Adams-Wilson Hobbycopter","","http://commons.wikimedia.org/wiki/Special:FilePath/HobbyCopter%2C%20Adam-Wilson%20Helicopters%2C%20Inc.%2C%20Lakewood%2C%20California%20-%20Oregon%20Air%20and%20Space%20Museum%20-%20Eugene%2C%20Oregon%20-%20DSC09715.jpg",""
"http://www.wikidata.org/entity/Q2819096","ADI Stallion","","http://commons.wikimedia.org/wiki/Special:FilePath/2004%20Hollmann%20Super%20Stallion.jpg",""
"http://www.wikidata.org/entity/Q379617","Advanced Medium STOL Transport","","http://commons.wikimedia.org/wiki/Special:FilePath/Yc14-1%20072.jpg",""
"http://www.wikidata.org/entity/Q2825576","Aerial Distributors Distributor Wing","","http://commons.wikimedia.org/wiki/Special:FilePath/Distributor%20Wing%20DW-1%20N361DW%20at%20University%20Airport%20in%201970.jpg",""
"http://www.wikidata.org/entity/Q3631636","Aériane Swift","","http://commons.wikimedia.org/wiki/Special:FilePath/Swift%27Lite%20glider%20foot%20launched%20glider%20prior%20to%20take-off.jpg",""
"http://www.wikidata.org/entity/Q381137","Aerion SBJ","","http://commons.wikimedia.org/wiki/Special:FilePath/Aerion%20SSBJ%20two-view%20silhouette.png",""
"http://www.wikidata.org/entity/Q381217","Aero A.200","","http://commons.wikimedia.org/wiki/Special:FilePath/Aero%20A.200%20photo%20L%27Aerophile%20October%201934.jpg",""
"http://www.wikidata.org/entity/Q2825603","Aero Dynamics Sparrow Hawk","","http://commons.wikimedia.org/wiki/Special:FilePath/Sparrow%20Hawk%20II.jpg",""
"http://www.wikidata.org/entity/Q2825615","Aerocar 2000","","http://commons.wikimedia.org/wiki/Special:FilePath/Aerocar2000.jpg",""
"http://www.wikidata.org/entity/Q381577","Aeronautica Umbra Trojani AUT.18","","http://commons.wikimedia.org/wiki/Special:FilePath/AUT.18%20model.JPG",""
"http://www.wikidata.org/entity/Q3605998","Aeronave Italia","","http://commons.wikimedia.org/wiki/Special:FilePath/Aeronave%20Italia%201905.jpg",""
"http://www.wikidata.org/entity/Q1608927","Aerotécnica AC-12","","http://commons.wikimedia.org/wiki/Special:FilePath/Aerotecnica%20AC-12.jpg",""
"http://www.wikidata.org/entity/Q3012772","Akaflieg Berlin B 9","","http://commons.wikimedia.org/wiki/Special:FilePath/BerlinB9%20zens.png",""
"http://www.wikidata.org/entity/Q114821","Akaflieg München Mü13","","http://commons.wikimedia.org/wiki/Special:FilePath/Akaflieg%20Munchen%20MU.13D%20Bergfalke%20III%20at%20Gliding%20Heritage%20Centre%20%2834428819706%29.jpg",""
