item,itemLabel,image,article,rankArticle,birthDate,sitelinks,pageviews,imageAuthor,imageLicense,imageLicenseUrl
"http://www.wikidata.org/entity/Q129118","Ada Hegerberg","http://commons.wikimedia.org/wiki/Special:FilePath/20141015%20-%20PSG-Lyon%20-%200662.jpg","https://nn.wikipedia.org/wiki/Ada_Hegerberg","https://no.wikipedia.org/wiki/Ada_Hegerberg","1995-07-10T00:00:00Z","44","1931","Pierre-Yves Beaudouin","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0"
"http://www.wikidata.org/entity/Q62059870","Akor Jerome Adams","http://commons.wikimedia.org/wiki/Special:FilePath/Akor%20Adams%202023.jpg","https://no.wikipedia.org/wiki/Akor_Jerome_Adams","https://no.wikipedia.org/wiki/Akor_Jerome_Adams","2000-01-29T00:00:00Z","23","826","MHSC TV - Montpellier Hérault Sport Club","CC BY 3.0","https://creativecommons.org/licenses/by/3.0"
"http://www.wikidata.org/entity/Q105681392","Alejandro Balde","http://commons.wikimedia.org/wiki/Special:FilePath/Esapana-inglaterra-74%20%2848899354493%29.jpg","https://no.wikipedia.org/wiki/Alejandro_Balde","https://no.wikipedia.org/wiki/Alejandro_Balde","2003-10-18T00:00:00Z","48","651","Pedro Semitiel from Cehegín, España","CC BY 2.0","https://creativecommons.org/licenses/by/2.0"
"http://www.wikidata.org/entity/Q111366053","Alejandro Garnacho","http://commons.wikimedia.org/wiki/Special:FilePath/Alejandro%20Garnacho%207%20August%202022%20%28cropped%29.jpg","https://no.wikipedia.org/wiki/Alejandro_Garnacho","https://no.wikipedia.org/wiki/Alejandro_Garnacho","2004-07-01T00:00:00Z","45","879","Ardfern","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0"
"http://www.wikidata.org/entity/Q23759917","Alexander Isak","http://commons.wikimedia.org/wiki/Special:FilePath/Alexander%20Isak%20-%20Sweden%20-%20Greece21%20%28cropped%29.jpg","https://no.wikipedia.org/wiki/Alexander_Isak","https://no.wikipedia.org/wiki/Alexander_Isak","1999-09-21T00:00:00Z","59","2010","Mikael Hervestad","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0"
"http://www.wikidata.org/entity/Q13784739","Alexander Sørloth","http://commons.wikimedia.org/wiki/Special:FilePath/Alexander%20Sorloth%20France%20v%20Norway%2026%20June%2026-048.jpg","https://nn.wikipedia.org/wiki/Alexander_S%C3%B8rloth","https://no.wikipedia.org/wiki/Alexander_S%C3%B8rloth","1995-12-05T00:00:00Z","50","6346","Bryan Berlin","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0"
"http://www.wikidata.org/entity/Q33297140","Alexis Mac Allister","http://commons.wikimedia.org/wiki/Special:FilePath/Alexis%20Mac%20Allister%20Argentina%20v%20Spain%2019%20July%202026-162%20%28cropped%29.jpg","https://no.wikipedia.org/wiki/Alexis_Mac_Allister","https://no.wikipedia.org/wiki/Alexis_Mac_Allister","1998-12-24T00:00:00Z","56","919","Bryan Berlin","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0"
"http://www.wikidata.org/entity/Q40771","Alfreð Finnbogason","http://commons.wikimedia.org/wiki/Special:FilePath/Alfred%20Finnbogason.jpg","https://no.wikipedia.org/wiki/Alfre%C3%B0_Finnbogason","https://no.wikipedia.org/wiki/Alfre%C3%B0_Finnbogason","1989-02-01T00:00:00Z","52","904","Løken","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0"
"http://www.wikidata.org/entity/Q18237361","Alisson","http://commons.wikimedia.org/wiki/Special:FilePath/Alisson%20Becker%20Brazil%20V%20Morocco%2013%20June%202026-117%20%28cropped%29.jpg","https://no.wikipedia.org/wiki/Alisson_Becker","https://no.wikipedia.org/wiki/Alisson_Becker","1992-10-02T00:00:00Z","74","988","Bryan Berlin","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0"
"http://www.wikidata.org/entity/Q17745626","Amahl Pellegrino","http://commons.wikimedia.org/wiki/Special:FilePath/Pellergrino02.jpg","https://no.wikipedia.org/wiki/Amahl_Pellegrino","https://no.wikipedia.org/wiki/Amahl_Pellegrino","1990-06-18T00:00:00Z","16","1867","Jørn Sund-Henriksen","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0"
