item,itemLabel,image,article,kjemisk_symbol
"http://www.wikidata.org/entity/Q1038","zirkonium","http://commons.wikimedia.org/wiki/Special:FilePath/Zirconium%20crystal%20bar%20and%201cm3%20cube.jpg","https://nn.wikipedia.org/wiki/Zirkonium","Zr"
"http://www.wikidata.org/entity/Q758","sink","http://commons.wikimedia.org/wiki/Special:FilePath/Zinc%20fragment%20sublimed%20and%201cm3%20cube.jpg","https://nn.wikipedia.org/wiki/Sink","Zn"
"http://www.wikidata.org/entity/Q1855","ytterbium","http://commons.wikimedia.org/wiki/Special:FilePath/Ytterbium%20element.jpg","https://nn.wikipedia.org/wiki/Ytterbium","Yb"
"http://www.wikidata.org/entity/Q941","yttrium","http://commons.wikimedia.org/wiki/Special:FilePath/Yttrium%20sublimed%20dendritic%20and%201cm3%20cube.jpg","https://nn.wikipedia.org/wiki/Yttrium","Y"
"http://www.wikidata.org/entity/Q1106","xenon","http://commons.wikimedia.org/wiki/Special:FilePath/XeTube.jpg","https://nn.wikipedia.org/wiki/Xenon","Xe"
"http://www.wikidata.org/entity/Q743","wolfram","http://commons.wikimedia.org/wiki/Special:FilePath/Wolfram%20evaporated%20crystals%20and%201cm3%20cube.jpg","https://nn.wikipedia.org/wiki/Wolfram","W"
"http://www.wikidata.org/entity/Q722","vanadium","http://commons.wikimedia.org/wiki/Special:FilePath/Vanadium%201.jpg","https://nn.wikipedia.org/wiki/Vanadium","V"
"http://www.wikidata.org/entity/Q1098","uran","http://commons.wikimedia.org/wiki/Special:FilePath/Uranium2.jpg","https://nn.wikipedia.org/wiki/Uran","U"
"http://www.wikidata.org/entity/Q1853","thulium","http://commons.wikimedia.org/wiki/Special:FilePath/Thulium%20sublimed%20dendritic%20and%201cm3%20cube.jpg","https://nn.wikipedia.org/wiki/Thulium","Tm"
"http://www.wikidata.org/entity/Q932","thallium","http://commons.wikimedia.org/wiki/Special:FilePath/Thallium%20pieces%20in%20ampoule.jpg","https://nn.wikipedia.org/wiki/Thallium","Tl"
"http://www.wikidata.org/entity/Q716","titan","http://commons.wikimedia.org/wiki/Special:FilePath/Titan-crystal%20bar.JPG","https://nn.wikipedia.org/wiki/Grunnstoffet_titan","Ti"
"http://www.wikidata.org/entity/Q1115","thorium","http://commons.wikimedia.org/wiki/Special:FilePath/Thorium%20sample%200.1g.jpg","https://nn.wikipedia.org/wiki/Thorium","Th"
"http://www.wikidata.org/entity/Q1100","tellur","http://commons.wikimedia.org/wiki/Special:FilePath/Tellurium%20element%202.jpg","https://nn.wikipedia.org/wiki/Tellur","Te"
"http://www.wikidata.org/entity/Q1054","technetium","http://commons.wikimedia.org/wiki/Special:FilePath/Technetium-sample.jpg","https://nn.wikipedia.org/wiki/Technetium","Tc"
"http://www.wikidata.org/entity/Q1838","terbium","http://commons.wikimedia.org/wiki/Special:FilePath/Terbium%20element.jpg","https://nn.wikipedia.org/wiki/Terbium","Tb"
"http://www.wikidata.org/entity/Q1123","tantal","http://commons.wikimedia.org/wiki/Special:FilePath/Tantalum%20single%20crystal%20and%201cm3%20cube.jpg","https://nn.wikipedia.org/wiki/Tantal","Ta"
"http://www.wikidata.org/entity/Q938","strontium","http://commons.wikimedia.org/wiki/Special:FilePath/Strontium%20destilled%20crystals.jpg","https://nn.wikipedia.org/wiki/Strontium","Sr"
"http://www.wikidata.org/entity/Q1096","tinn","http://commons.wikimedia.org/wiki/Special:FilePath/C%C3%ADn.PNG","https://nn.wikipedia.org/wiki/Grunnstoffet_tinn","Sn"
"http://www.wikidata.org/entity/Q1819","samarium","http://commons.wikimedia.org/wiki/Special:FilePath/Samarium%201.jpg","https://nn.wikipedia.org/wiki/Samarium","Sm"
"http://www.wikidata.org/entity/Q670","silisium","http://commons.wikimedia.org/wiki/Special:FilePath/SiliconCroda.jpg","https://nn.wikipedia.org/wiki/Silisium","Si"
"http://www.wikidata.org/entity/Q876","selen","http://commons.wikimedia.org/wiki/Special:FilePath/Selen%201.jpg","https://nn.wikipedia.org/wiki/Selen","Se"
"http://www.wikidata.org/entity/Q713","scandium","http://commons.wikimedia.org/wiki/Special:FilePath/Scandium%20sublimed%20dendritic%20and%201cm3%20cube.jpg","https://nn.wikipedia.org/wiki/Scandium","Sc"
"http://www.wikidata.org/entity/Q1099","antimon","http://commons.wikimedia.org/wiki/Special:FilePath/Antimony-2.jpg","https://nn.wikipedia.org/wiki/Antimon","Sb"
"http://www.wikidata.org/entity/Q682","svovel","http://commons.wikimedia.org/wiki/Special:FilePath/Raflinoer32-Museum%20Geologi-Belerang.jpg","https://nn.wikipedia.org/wiki/Svovel","S"
"http://www.wikidata.org/entity/Q1086","ruthenium","http://commons.wikimedia.org/wiki/Special:FilePath/Ruthenium%20a%20half%20bar.jpg","https://nn.wikipedia.org/wiki/Ruthenium","Ru"
"http://www.wikidata.org/entity/Q1133","radon","http://commons.wikimedia.org/wiki/Special:FilePath/Radon%20water%20apparatus%20P1120815.JPG","https://nn.wikipedia.org/wiki/Radon","Rn"
"http://www.wikidata.org/entity/Q1087","rhodium","http://commons.wikimedia.org/wiki/Special:FilePath/Rhodium%20powder%20pressed%20melted.jpg","https://nn.wikipedia.org/wiki/Rhodium","Rh"
"http://www.wikidata.org/entity/Q1226","rutherfordium","http://commons.wikimedia.org/wiki/Special:FilePath/Rutherfordium.svg","https://nn.wikipedia.org/wiki/Rutherfordium","Rf"
"http://www.wikidata.org/entity/Q737","rhenium","http://commons.wikimedia.org/wiki/Special:FilePath/Rhenium%20single%20crystal%20bar%20and%201cm3%20cube.jpg","https://nn.wikipedia.org/wiki/Rhenium","Re"
"http://www.wikidata.org/entity/Q895","rubidium","http://commons.wikimedia.org/wiki/Special:FilePath/RbMetal.JPG","https://nn.wikipedia.org/wiki/Rubidium","Rb"
"http://www.wikidata.org/entity/Q1128","radium","http://commons.wikimedia.org/wiki/Special:FilePath/Radium226.jpg","https://nn.wikipedia.org/wiki/Radium","Ra"
"http://www.wikidata.org/entity/Q1102","plutonium","http://commons.wikimedia.org/wiki/Special:FilePath/Plutonium%20ring.jpg","https://nn.wikipedia.org/wiki/Plutonium","Pu"
"http://www.wikidata.org/entity/Q880","platina","http://commons.wikimedia.org/wiki/Special:FilePath/Platinum%20crystals.jpg","https://nn.wikipedia.org/wiki/Platina","Pt"
"http://www.wikidata.org/entity/Q1386","praseodym","http://commons.wikimedia.org/wiki/Special:FilePath/Praseodym%201.jpg","https://nn.wikipedia.org/wiki/Praseodym","Pr"
"http://www.wikidata.org/entity/Q979","polonium","http://commons.wikimedia.org/wiki/Special:FilePath/2019-11-22%20Spark%20plugs%20and%20static%20eliminators%20with%20radioactive%20polonium%20at%20museum%20display.jpg","https://nn.wikipedia.org/wiki/Polonium","Po"
"http://www.wikidata.org/entity/Q1809","promethium","http://commons.wikimedia.org/wiki/Special:FilePath/Promethium-147%20solution.jpg","https://nn.wikipedia.org/wiki/Promethium","Pm"
"http://www.wikidata.org/entity/Q1089","palladium","http://commons.wikimedia.org/wiki/Special:FilePath/Palladium%20%2846%20Pd%29.jpg","https://nn.wikipedia.org/wiki/Palladium","Pd"
"http://www.wikidata.org/entity/Q708","bly","http://commons.wikimedia.org/wiki/Special:FilePath/Lead%20electrolytic%20and%201cm3%20cube.jpg","https://nn.wikipedia.org/wiki/Bly","Pb"
"http://www.wikidata.org/entity/Q1109","protactinium","http://commons.wikimedia.org/wiki/Special:FilePath/Protactinium-233.jpg","https://nn.wikipedia.org/wiki/Protactinium","Pa"
"http://www.wikidata.org/entity/Q674","fosfor","http://commons.wikimedia.org/wiki/Special:FilePath/Phosphor.JPG","https://nn.wikipedia.org/wiki/Fosfor","P"
"http://www.wikidata.org/entity/Q751","osmium","http://commons.wikimedia.org/wiki/Special:FilePath/Osmium%20crystals.jpg","https://nn.wikipedia.org/wiki/Osmium","Os"
"http://www.wikidata.org/entity/Q629","oksygen","http://commons.wikimedia.org/wiki/Special:FilePath/Liquid%20oxygen%20in%20a%20beaker%204.jpg","https://nn.wikipedia.org/wiki/Oksygen","O"
"http://www.wikidata.org/entity/Q1105","neptunium","http://commons.wikimedia.org/wiki/Special:FilePath/Neptunium2.jpg","https://nn.wikipedia.org/wiki/Neptunium","Np"
"http://www.wikidata.org/entity/Q1901","nobelium","http://commons.wikimedia.org/wiki/Special:FilePath/Nobelium.svg","https://nn.wikipedia.org/wiki/Nobelium","No"
"http://www.wikidata.org/entity/Q744","nikkel","http://commons.wikimedia.org/wiki/Special:FilePath/Electrolytic%20nickel.jpg","https://nn.wikipedia.org/wiki/Nikkel","Ni"
"http://www.wikidata.org/entity/Q654","neon","http://commons.wikimedia.org/wiki/Special:FilePath/NeTube.jpg","https://nn.wikipedia.org/wiki/Neon","Ne"
"http://www.wikidata.org/entity/Q1388","neodym","http://commons.wikimedia.org/wiki/Special:FilePath/Neodym%201.jpg","https://nn.wikipedia.org/wiki/Neodym","Nd"
"http://www.wikidata.org/entity/Q1046","niob","http://commons.wikimedia.org/wiki/Special:FilePath/Niobium%20crystals%20and%201cm3%20cube.jpg","https://nn.wikipedia.org/wiki/Niob","Nb"
"http://www.wikidata.org/entity/Q658","natrium","http://commons.wikimedia.org/wiki/Special:FilePath/Na%20%28Sodium%29.jpg","https://nn.wikipedia.org/wiki/Natrium","Na"
"http://www.wikidata.org/entity/Q627","nitrogen","http://commons.wikimedia.org/wiki/Special:FilePath/Fluessiger%20Stickstoff.jpg","https://nn.wikipedia.org/wiki/Nitrogen","N"
