item,itemLabel,image,article,opphavslandLabel,imageAuthor,imageLicense,imageLicenseUrl
"http://www.wikidata.org/entity/Q7254","Affenpinscher","http://commons.wikimedia.org/wiki/Special:FilePath/Affenpinscher%20breed.jpg","https://no.wikipedia.org/wiki/Affenpinscher","Tyskland","Futurebreak","CC0","https://creativecommons.org/publicdomain/zero/1.0/deed.en"
"http://www.wikidata.org/entity/Q21080","Afghansk mynde","http://commons.wikimedia.org/wiki/Special:FilePath/AKC%20Helena%20Fall%20Dog%20Show%202011.jpg","https://nn.wikipedia.org/wiki/Afghansk_mynde","Afghanistan","SheltieBoy","CC BY 2.0","https://creativecommons.org/licenses/by/2.0"
"http://www.wikidata.org/entity/Q516079","Africanis","http://commons.wikimedia.org/wiki/Special:FilePath/Africanis%20%281%29.jpg","https://no.wikipedia.org/wiki/Africanis","","Bothar at English Wikipedia","CC BY-SA 3.0","https://creativecommons.org/licenses/by-sa/3.0/"
"http://www.wikidata.org/entity/Q1806071","Afrikansk nakenhund","http://commons.wikimedia.org/wiki/Special:FilePath/Africanhairless.jpg","https://no.wikipedia.org/wiki/Afrikansk_nakenhund","","Sarah Hartwell","CC BY-SA 3.0","https://creativecommons.org/licenses/by-sa/3.0/"
"http://www.wikidata.org/entity/Q37904","Aidi","http://commons.wikimedia.org/wiki/Special:FilePath/Aidi.jpg","https://no.wikipedia.org/wiki/Aidi","Nord-Afrika","ukjend","CC BY-SA 3.0","https://creativecommons.org/licenses/by-sa/3.0/"
"http://www.wikidata.org/entity/Q37617","Airedale terrier","http://commons.wikimedia.org/wiki/Special:FilePath/Airedale%20Terrier.jpg","https://no.wikipedia.org/wiki/Airedale_terrier","Storbritannia","by Jane@rangeairevision.com","Copyrighted free use",""
"http://www.wikidata.org/entity/Q38175","Akbash dog","http://commons.wikimedia.org/wiki/Special:FilePath/Akbash%20Dog%20in%20CA.jpg","https://no.wikipedia.org/wiki/Akbash_dog","Tyrkia","Jerry Kirkhart from Los Osos, Calif.","CC BY 2.0","https://creativecommons.org/licenses/by/2.0"
"http://www.wikidata.org/entity/Q29164","Akita","http://commons.wikimedia.org/wiki/Special:FilePath/Akita%20inu%20criado%20por%20Tsutsui%20Kennel.jpg","https://no.wikipedia.org/wiki/Akita_(hund)","Japan / USA","TsutsuiKennel","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0"
"http://www.wikidata.org/entity/Q37690","Alano","http://commons.wikimedia.org/wiki/Special:FilePath/Spanish%20Alano%202.jpg","https://no.wikipedia.org/wiki/Alano","Spania","Canarian","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0"
"http://www.wikidata.org/entity/Q38152","Alaskan Klee Kai","http://commons.wikimedia.org/wiki/Special:FilePath/Standard%20Alaskan%20Klee%20Kai.jpg","https://no.wikipedia.org/wiki/Alaskan_klee_kai","USA","Gnuyen","CC BY-SA 3.0","https://creativecommons.org/licenses/by-sa/3.0/"
"http://www.wikidata.org/entity/Q21206","Alaskan malamute","http://commons.wikimedia.org/wiki/Special:FilePath/Alaskan%20Malamute.jpg","https://no.wikipedia.org/wiki/Alaskan_malamute","Alaska","SCMW","CC BY 3.0","https://creativecommons.org/licenses/by/3.0"
"http://www.wikidata.org/entity/Q37498","Alpinsk dachsbracke","http://commons.wikimedia.org/wiki/Special:FilePath/Alpejski%20go%C5%84czy%20kr%C3%B3tkono%C5%BCny%20g99.jpg","https://no.wikipedia.org/wiki/Alpinsk_dachsbracke","Austerrike","Pleple2000","CC BY-SA 3.0","https://creativecommons.org/licenses/by-sa/3.0/"
"http://www.wikidata.org/entity/Q37604","Amerikansk bulldog","http://commons.wikimedia.org/wiki/Special:FilePath/BUCKEYE%202010%20ANCHOR%20BULLY%20RASCALZ.jpg","https://no.wikipedia.org/wiki/Amerikansk_bulldog","USA","Bully Rascalz","Copyrighted free use",""
"http://www.wikidata.org/entity/Q38063","Amerikansk cocker spaniel","http://commons.wikimedia.org/wiki/Special:FilePath/AmericanCockerSpaniel%20wb.jpg","https://no.wikipedia.org/wiki/Amerikansk_cocker_spaniel","USA","","CC BY-SA 3.0","https://creativecommons.org/licenses/by-sa/3.0/"
"http://www.wikidata.org/entity/Q37699","Amerikansk eskimohund","http://commons.wikimedia.org/wiki/Special:FilePath/American%20Eskimo%20Dog%201.jpg","https://no.wikipedia.org/wiki/Amerikansk_eskimohund","USA","Christmas w/a K","CC BY-SA 2.0","https://creativecommons.org/licenses/by-sa/2.0"
"http://www.wikidata.org/entity/Q37514","Amerikansk foxhound","http://commons.wikimedia.org/wiki/Special:FilePath/AmericanFoxhound2.jpg","https://no.wikipedia.org/wiki/Amerikansk_foxhound","USA","","CC BY-SA 3.0","https://creativecommons.org/licenses/by-sa/3.0/"
"http://www.wikidata.org/entity/Q37473","Amerikansk hjortehund","http://commons.wikimedia.org/wiki/Special:FilePath/Staghound.jpg","https://no.wikipedia.org/wiki/Amerikansk_hjortehund","","Nelsonismyhero","Attribution",""
"http://www.wikidata.org/entity/Q37508","Amerikansk nakenterrier","http://commons.wikimedia.org/wiki/Special:FilePath/American%20Hairless%20Terrier%20Adelor.jpg","https://no.wikipedia.org/wiki/Amerikansk_nakenterrier","USA","Nyaah","CC BY-SA 3.0","https://creativecommons.org/licenses/by-sa/3.0"
"http://www.wikidata.org/entity/Q37612","Amerikansk pitbullterrier","http://commons.wikimedia.org/wiki/Special:FilePath/American%20Pitbull%20001.jpg","https://nn.wikipedia.org/wiki/Amerikansk_pitbullterrier","USA","Kpo!:D","Public domain",""
"http://www.wikidata.org/entity/Q37688","Amerikansk staffordshireterrier","http://commons.wikimedia.org/wiki/Special:FilePath/AMERICAN%20STAFFORDSHIRE%20TERRIER%2C%20Zican%E2%80%99s%20Bz%20Ez%20Dragon%20%2824208348891%29.2.jpg","https://nn.wikipedia.org/wiki/Amerikansk_staffordshireterrier","USA","Svenska Mässan from Sweden","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0"
"http://www.wikidata.org/entity/Q37856","Amerikansk vannspaniel","http://commons.wikimedia.org/wiki/Special:FilePath/AmWaterSpan1.jpg","https://no.wikipedia.org/wiki/Amerikansk_vannspaniel","USA","","CC BY-SA 3.0","https://creativecommons.org/licenses/by-sa/3.0/"
"http://www.wikidata.org/entity/Q37541","Anatolsk gjeterhund","http://commons.wikimedia.org/wiki/Special:FilePath/Kangal-welpen-de%20003.jpg","https://no.wikipedia.org/wiki/Anatolsk_gjeterhund","Tyrkia","Dfence","CC BY-SA 3.0","https://creativecommons.org/licenses/by-sa/3.0/"
"http://www.wikidata.org/entity/Q37697","Appenzeller Sennenhund","http://commons.wikimedia.org/wiki/Special:FilePath/Abora%20z%20Velk%C3%A9ho%20%C3%9Ajezda5.jpg","https://no.wikipedia.org/wiki/Appenzeller_sennenhund","Sveits","SportKBK","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0"
"http://www.wikidata.org/entity/Q37909","Argentinsk dogge","http://commons.wikimedia.org/wiki/Special:FilePath/0Dogo-argentino-22122251920.jpg","https://no.wikipedia.org/wiki/Argentinsk_dogge","Argentina","joseltr","CC0","https://creativecommons.org/publicdomain/zero/1.0/deed.en"
"http://www.wikidata.org/entity/Q37595","Australian cattledog","http://commons.wikimedia.org/wiki/Special:FilePath/ACD-blue-spud.jpg","https://no.wikipedia.org/wiki/Australian_cattledog","Australia","Zingpix","CC BY 3.0","https://creativecommons.org/licenses/by/3.0"
"http://www.wikidata.org/entity/Q37503","Australian stumpy tail cattle dog","http://commons.wikimedia.org/wiki/Special:FilePath/Australian%20Stumpy%20Tail%20Cattle%20Dog.jpg","https://no.wikipedia.org/wiki/Australian_stumpy_tail_cattle_dog","Australia","Wendy Hodges","CC BY 2.0","https://creativecommons.org/licenses/by/2.0"
"http://www.wikidata.org/entity/Q38584","Australsk dingo","http://commons.wikimedia.org/wiki/Special:FilePath/Dingo%20Side.JPG","https://no.wikipedia.org/wiki/Australsk_dingo","","Quartl","CC BY-SA 3.0","https://creativecommons.org/licenses/by-sa/3.0"
"http://www.wikidata.org/entity/Q37629","Australsk gjetarhund","http://commons.wikimedia.org/wiki/Special:FilePath/Aussi.jpg","https://nn.wikipedia.org/wiki/Australsk_gjetarhund","USA / Australia","Christoph Aeschlimann","CC BY-SA 3.0","https://creativecommons.org/licenses/by-sa/3.0/"
"http://www.wikidata.org/entity/Q37520","Australsk kelpie","http://commons.wikimedia.org/wiki/Special:FilePath/Bashyr.jpg","https://nn.wikipedia.org/wiki/Australsk_kelpie","Australia","D.N. Geerlings (eigenaar)","CC BY-SA 2.5 nl","https://creativecommons.org/licenses/by-sa/2.5/nl/deed.en"
"http://www.wikidata.org/entity/Q37530","Australsk terrier","http://commons.wikimedia.org/wiki/Special:FilePath/Australian%20Terrier%20002%20U.jpg","https://no.wikipedia.org/wiki/Australsk_terrier","Australia","Lilly M","CC BY-SA 3.0","https://creativecommons.org/licenses/by-sa/3.0/"
"http://www.wikidata.org/entity/Q37859","Azawakh","http://commons.wikimedia.org/wiki/Special:FilePath/Azawakh%20bitch%20Shira-tb.jpg","https://no.wikipedia.org/wiki/Azawakh","Mali","ToB (2004)","Public domain",""
"http://www.wikidata.org/entity/Q37730","Azores cattle dog","http://commons.wikimedia.org/wiki/Special:FilePath/Caofila.jpg","https://no.wikipedia.org/wiki/Azores_cattle_dog","Portugal","Summer05","CC BY-SA 3.0","https://creativecommons.org/licenses/by-sa/3.0/"
"http://www.wikidata.org/entity/Q1770291","Bakhmull","http://commons.wikimedia.org/wiki/Special:FilePath/Christopher-el-Bark.jpg","https://no.wikipedia.org/wiki/Bakhmull","Russland / Afghanistan","Radobark","CC BY-SA 3.0","https://creativecommons.org/licenses/by-sa/3.0"
"http://www.wikidata.org/entity/Q37585","Barbet","http://commons.wikimedia.org/wiki/Special:FilePath/Chien%20de%20race%20Barbet.jpg","https://no.wikipedia.org/wiki/Barbet","Frankrike","","Public domain",""
"http://www.wikidata.org/entity/Q37871","Basenji","http://commons.wikimedia.org/wiki/Special:FilePath/%D0%91%D0%B0%D1%81%D0%B5%D0%BD%D0%B4%D0%B6%D0%B8%20%28Basenji%29%2002.jpg","https://no.wikipedia.org/wiki/Basenji","Den demokratiske republikken Kongo","Novoklimov","CC0","https://creativecommons.org/publicdomain/zero/1.0/deed.en"
"http://www.wikidata.org/entity/Q37552","Basset bleu de Gascogne","http://commons.wikimedia.org/wiki/Special:FilePath/Basset%20bleu%20de%20Gascogne.jpg","https://no.wikipedia.org/wiki/Basset_bleu_de_gascogne","Frankrike","M.W. Reichert (Eingestellt von Caronna 10:10, 25 January 2006)","CC BY-SA 3.0","https://creativecommons.org/licenses/by-sa/3.0/"
"http://www.wikidata.org/entity/Q37570","Basset fauve de bretagne","http://commons.wikimedia.org/wiki/Special:FilePath/Basset%20Fauve%20de%20Bretagne%20600.jpg","https://no.wikipedia.org/wiki/Basset_fauve_de_bretagne","Frankrike","","CC BY-SA 3.0","https://creativecommons.org/licenses/by-sa/3.0/"
"http://www.wikidata.org/entity/Q37716","Basset hound","http://commons.wikimedia.org/wiki/Special:FilePath/Basset%20Hound%20600.jpg","https://no.wikipedia.org/wiki/Basset_hound","Frankrike","","CC BY-SA 3.0","https://creativecommons.org/licenses/by-sa/3.0/"
"http://www.wikidata.org/entity/Q37576","Bayersk viltsporhund","http://commons.wikimedia.org/wiki/Special:FilePath/2005-09%20Zoran%201.jpg","https://no.wikipedia.org/wiki/Bayersk_viltsporhund","","Ralf Lotys (Sicherlich)","CC BY 2.5","https://creativecommons.org/licenses/by/2.5"
"http://www.wikidata.org/entity/Q21102","Beagle","http://commons.wikimedia.org/wiki/Special:FilePath/MiloSmet.JPG","https://no.wikipedia.org/wiki/Beagle","Storbritannia","Jonatan De Geest","CC BY-SA 3.0","https://creativecommons.org/licenses/by-sa/3.0"
"http://www.wikidata.org/entity/Q37478","Beagle harrier","http://commons.wikimedia.org/wiki/Special:FilePath/Beagle%20harrier.JPG","https://no.wikipedia.org/wiki/Beagle_harrier","Frankrike","Grzes1966","CC BY-SA 3.0","https://creativecommons.org/licenses/by-sa/3.0"
"http://www.wikidata.org/entity/Q37619","Bearded collie","http://commons.wikimedia.org/wiki/Special:FilePath/Bearded%20Collie.jpg","https://no.wikipedia.org/wiki/Bearded_collie","Skottland","marbla123","CC BY 2.0","https://creativecommons.org/licenses/by/2.0"
"http://www.wikidata.org/entity/Q37720","Beauceron","http://commons.wikimedia.org/wiki/Special:FilePath/BeauceronStand.jpg","https://no.wikipedia.org/wiki/Beauceron","Frankrike","Stefan Schmitz","CC BY-SA 3.0 de","https://creativecommons.org/licenses/by-sa/3.0/de/deed.en"
"http://www.wikidata.org/entity/Q37582","Bedlington terrier","http://commons.wikimedia.org/wiki/Special:FilePath/Bedlington%20terrier.jpeg","https://nn.wikipedia.org/wiki/Bedlington_terrier","England","David Owsiany","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0"
"http://www.wikidata.org/entity/Q37624","Belgisk fårehund","http://commons.wikimedia.org/wiki/Special:FilePath/04%20-%20Belgian%20shepherd%20dog%20varieties%20-%20Groenendael%2CTervuren%2C%20Malinois%2C%20Laekenois.jpg","https://no.wikipedia.org/wiki/Belgisk_f%C3%A5rehund","Belgia","Various, see description. Compiled by User:Adventurous36","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0"
"http://www.wikidata.org/entity/Q38238","Bergamasco","http://commons.wikimedia.org/wiki/Special:FilePath/Bergamasco%20600.jpg","https://nn.wikipedia.org/wiki/Bergamasco","Italia","","CC BY-SA 3.0","https://creativecommons.org/licenses/by-sa/3.0/"
