"painting","paintingLabel","artist","artistLabel","year","image","article","artistArticle"
"http://www.wikidata.org/entity/Q97098744","1824. Økeren.","http://www.wikidata.org/entity/Q18851358","Mathias Wilhelm Eckhoff","1824-01-01T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/Mathias%20Wilhelm%20Eckhoff%20-%201824.%20%C3%98keren.%20-%201824%20-%20Oslo%20Museum%20-%20OB.01419.jpg","","https://no.wikipedia.org/wiki/Mathias_Wilhelm_Eckhoff"
"http://www.wikidata.org/entity/Q55424762","A Forest Road with an Altar","http://www.wikidata.org/entity/Q1969461","Thomas Fearnley","1830-01-01T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/Thomas%20Fearnley%20-%20A%20Forest%20Road%20with%20an%20Altar%20-%20NG.M.00455a%20-%20National%20Museum%20of%20Art%2C%20Architecture%20and%20Design.jpg","","https://no.wikipedia.org/wiki/Thomas_Fearnley"
"http://www.wikidata.org/entity/Q53314787","A Forester`s Cottage","http://www.wikidata.org/entity/Q164735","Johan Christian Dahl","1800-01-01T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/I.%20C.%20Dahl%20-%20Skovriderg%C3%A5rden%20Skovlyst%20ved%20Hiller%C3%B8d.%201812%E2%80%9313.png","","https://no.wikipedia.org/wiki/J.C._Dahl"
"http://www.wikidata.org/entity/Q55421211","A Potter's Workshop","http://www.wikidata.org/entity/Q365544","Adolph Tidemand","1835-01-01T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/Adolph%20Tidemand%20-%20Painting%20-%20NG.M.00302-027%20-%20National%20Museum%20of%20Art%2C%20Architecture%20and%20Design.jpg","","https://no.wikipedia.org/wiki/Adolph_Tidemand"
"http://www.wikidata.org/entity/Q57921980","A ruin in the neighborhood of Castel Mare","http://www.wikidata.org/entity/Q164735","Johan Christian Dahl","1828-01-01T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/Johan%20Christian%20Clausen%20Dahl%20-%20A%20ruin%20in%20the%20neighborhood%20of%20Castel%20Mare%20%281828%29.jpg","","https://no.wikipedia.org/wiki/J.C._Dahl"
"http://www.wikidata.org/entity/Q20428378","A Seascape. The coast of the Island of Rügen in Evening Light","http://www.wikidata.org/entity/Q164735","Johan Christian Dahl","1818-01-01T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/JC%20Dahl%2C%20Et%20s%C3%B8stykke%20Kysterne%20af%20R%C3%BCgen%20set%20i%20aftenr%C3%B8den%20efter%20en%20stormfuld%20dag%2C%201818%2C%20KMS6852%2C%20Statens%20Museum%20for%20Kunst.jpg","https://no.wikipedia.org/wiki/%C2%ABEt_s%C3%B8stykke._Kysterne_af_R%C3%BCgen_set_i_aftenr%C3%B8den_efter_en_stormfuld_dag%C2%BB","https://no.wikipedia.org/wiki/J.C._Dahl"
"http://www.wikidata.org/entity/Q20355423","A Shipwreck on the Coast of Norway","http://www.wikidata.org/entity/Q164735","Johan Christian Dahl","1830-01-01T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/JC%20Dahl%2C%20Et%20skibbrud%20ved%20den%20norske%20kyst%2C%20%2C%20KMS216%2C%20Statens%20Museum%20for%20Kunst.jpg","","https://no.wikipedia.org/wiki/J.C._Dahl"
"http://www.wikidata.org/entity/Q21993927","A Steamer near Fredriksvern","http://www.wikidata.org/entity/Q164735","Johan Christian Dahl","1834-01-01T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/Johan%20Christian%20Dahl%20-%20A%20Steamer%20near%20Fredriksvern%20%28Stavern%29%20-%20NG.M.00426-015%20-%20National%20Museum%20of%20Art%2C%20Architecture%20and%20Design.jpg","","https://no.wikipedia.org/wiki/J.C._Dahl"
"http://www.wikidata.org/entity/Q55424038","A Terrace in Amalfi in Moonlight","http://www.wikidata.org/entity/Q1969461","Thomas Fearnley","1834-01-01T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/Thomas%20Fearnley%20-%20A%20Terrace%20in%20Amalfi%20in%20Moonlight%20-%20Google%20Art%20Project.jpg","","https://no.wikipedia.org/wiki/Thomas_Fearnley"
"http://www.wikidata.org/entity/Q55428783","A vaulted Hall in the Scharfenberg Castle near Dresden","http://www.wikidata.org/entity/Q1969461","Thomas Fearnley","1829-01-01T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/Thomas%20Fearnley%20-%20A%20vaulted%20Hall%20in%20the%20Scharfenberg%20Castle%20near%20Dresden%20-%20NG.M.01633%20-%20National%20Museum%20of%20Art%2C%20Architecture%20and%20Design.jpg","","https://no.wikipedia.org/wiki/Thomas_Fearnley"
