country,countryLabel,population,flag,article,imageAuthor,imageLicense,imageLicenseUrl
"http://www.wikidata.org/entity/Q668","India","1477519529","http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20India.svg","https://no.wikipedia.org/wiki/India","Government of India","Public domain",""
"http://www.wikidata.org/entity/Q148","People's Republic of China","1442965000","http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20the%20People%27s%20Republic%20of%20China.svg","https://no.wikipedia.org/wiki/Kina","Zeng Liansong","Public domain",""
"http://www.wikidata.org/entity/Q30","United States","340110988","http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20the%20United%20States%20%28DDD-F-416E%20specifications%29.svg","https://no.wikipedia.org/wiki/USA","Vector file created by Dbenbenn , Zscout370 , Jacobolus , Indolences , and Technion .","Public domain",""
"http://www.wikidata.org/entity/Q252","Indonesia","275439000","http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Indonesia.svg","https://no.wikipedia.org/wiki/Indonesia","Jayakatwang","Public domain",""
"http://www.wikidata.org/entity/Q843","Pakistan","223773700","http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Pakistan.svg","https://no.wikipedia.org/wiki/Pakistan","User:Zscout370","Public domain",""
"http://www.wikidata.org/entity/Q155","Brazil","213421037","http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Brazil.svg","https://no.wikipedia.org/wiki/Brasil","Raimundo Teixeira Mendes","Public domain",""
"http://www.wikidata.org/entity/Q1033","Nigeria","211400708","http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Nigeria.svg","https://no.wikipedia.org/wiki/Nigeria","Jon Harald Søby .","Public domain",""
"http://www.wikidata.org/entity/Q902","Bangladesh","171466990","http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Bangladesh.svg","https://no.wikipedia.org/wiki/Bangladesh","See File history below for details.","Public domain",""
"http://www.wikidata.org/entity/Q159","Russia","146119928","http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Russia.svg","https://no.wikipedia.org/wiki/Russland","Peter the Great","Public domain",""
"http://www.wikidata.org/entity/Q96","Mexico","132274416","http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Mexico.svg","https://no.wikipedia.org/wiki/Mexico","Alex Covarrubias , 9 April 2006. Based on the arms by Juan Manuel Gabino Villascán.","Public domain",""
"http://www.wikidata.org/entity/Q115","Ethiopia","128691692","http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Ethiopia.svg","https://no.wikipedia.org/wiki/Etiopia","Drawn by User:SKopp","Public domain",""
"http://www.wikidata.org/entity/Q17","Japan","123802000","http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Japan.svg","https://no.wikipedia.org/wiki/Japan","Various","Public domain",""
"http://www.wikidata.org/entity/Q79","Egypt","114535772","http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Egypt.svg","https://no.wikipedia.org/wiki/Egypt","See File history below for details.","Public domain",""
"http://www.wikidata.org/entity/Q928","Philippines","112729484","http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20the%20Philippines.svg","https://no.wikipedia.org/wiki/Filippinene","See File history below for details.","Public domain",""
"http://www.wikidata.org/entity/Q974","Democratic Republic of the Congo","105789731","http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20the%20Democratic%20Republic%20of%20the%20Congo.svg","https://no.wikipedia.org/wiki/Den_demokratiske_republikken_Kongo","Nightstallion","Public domain",""
"http://www.wikidata.org/entity/Q881","Vietnam","96208984","http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Vietnam.svg","https://no.wikipedia.org/wiki/Vietnam","See File history below for details.","Public domain",""
"http://www.wikidata.org/entity/Q794","Iran","92417700","http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Iran.svg","https://no.wikipedia.org/wiki/Iran","SVG file: SiBr 4 Designer: Hamid Nadimi Construction: ISIRI","Public domain",""
"http://www.wikidata.org/entity/Q43","Turkey","85372377","http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Turkey.svg","https://no.wikipedia.org/wiki/Tyrkia","David Benbennick (original author)","Public domain",""
"http://www.wikidata.org/entity/Q183","Germany","83577140","http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Germany.svg","https://no.wikipedia.org/wiki/Tyskland","User:SKopp , User:Madden , and other users","Public domain",""
"http://www.wikidata.org/entity/Q142","France","68605616","http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20France.svg","https://no.wikipedia.org/wiki/Frankrike","Original: Unknown Vector: SKopp","Public domain",""
"http://www.wikidata.org/entity/Q145","United Kingdom","67326569","http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20the%20United%20Kingdom%20%283-5%29.svg","https://no.wikipedia.org/wiki/Storbritannia","Original: Acts of Union 1800 Vector: Yaddah","Public domain",""
"http://www.wikidata.org/entity/Q869","Thailand","66188503","http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Thailand.svg","https://no.wikipedia.org/wiki/Thailand","Zscout370","Public domain",""
"http://www.wikidata.org/entity/Q258","South Africa","62027503","http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20South%20Africa.svg","https://no.wikipedia.org/wiki/S%C3%B8r-Afrika","Flag design by Frederick Brownell , image by Wikimedia Commons users","Public domain",""
"http://www.wikidata.org/entity/Q38","Italy","58850717","http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Italy.svg","https://no.wikipedia.org/wiki/Italia","See below.","Public domain",""
"http://www.wikidata.org/entity/Q924","Tanzania","57310019","http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Tanzania.svg","https://no.wikipedia.org/wiki/Tanzania","","Public domain",""
"http://www.wikidata.org/entity/Q836","Myanmar","53370609","http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Myanmar.svg","https://no.wikipedia.org/wiki/Myanmar","ukjend","Public domain",""
"http://www.wikidata.org/entity/Q739","Colombia","52321152","http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Colombia.svg","https://no.wikipedia.org/wiki/Colombia","See File history below for details.","Public domain",""
"http://www.wikidata.org/entity/Q884","South Korea","51466201","http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20South%20Korea.svg","https://no.wikipedia.org/wiki/S%C3%B8r-Korea","Original: Government of the Republic of Korea Vector: Great Brightstar and others","Public domain",""
"http://www.wikidata.org/entity/Q29","Spain","48592909","http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Spain.svg","https://no.wikipedia.org/wiki/Spania","RelShot 263 , Echando una mano ; earlier version was Pedro A. Gracia Fajardo, escudo de Manual de Imagen Institucional de la Administración…","Public domain",""
"http://www.wikidata.org/entity/Q114","Kenya","48468138","http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Kenya.svg","https://no.wikipedia.org/wiki/Kenya","User:Pumbaa80","Public domain",""
"http://www.wikidata.org/entity/Q414","Argentina","47327407","http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Argentina.svg","https://no.wikipedia.org/wiki/Argentina","Manuel Belgrano","Public domain",""
"http://www.wikidata.org/entity/Q1036","Uganda","47123531","http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Uganda.svg","https://no.wikipedia.org/wiki/Uganda","tobias","Public domain",""
"http://www.wikidata.org/entity/Q262","Algeria","46164219","http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Algeria.svg","https://no.wikipedia.org/wiki/Algerie","Original: National Liberation Front of Algeria Vector: SKopp","Public domain",""
"http://www.wikidata.org/entity/Q889","Afghanistan","41454761","http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20the%20Taliban.svg","https://no.wikipedia.org/wiki/Afghanistan","Original: Taliban Vector: Lexicon","Public domain",""
"http://www.wikidata.org/entity/Q212","Ukraine","41167335","http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Ukraine.svg","https://no.wikipedia.org/wiki/Ukraina","Government of Ukraine","Public domain",""
