item,itemLabel,image,article,opphavsland,opphavslandLabel
"http://www.wikidata.org/entity/Q3393853","'Ota 'ika","http://commons.wikimedia.org/wiki/Special:FilePath/Poisson%20cru%20au%20lait%20de%20coco.jpg","https://en.wikipedia.org/wiki/%27Ota_%27ika","",""
"http://www.wikidata.org/entity/Q7309432","Açorda","http://commons.wikimedia.org/wiki/Special:FilePath/A%C3%A7orda%20%C3%A0%20Alentejana.jpg","https://en.wikipedia.org/wiki/A%C3%A7orda","http://www.wikidata.org/entity/Q45","Portugal"
"http://www.wikidata.org/entity/Q19749023","adrem","http://commons.wikimedia.org/wiki/Special:FilePath/14.%20Adrem%201.jpg","https://en.wikipedia.org/wiki/Adrem_(snacks)","http://www.wikidata.org/entity/Q252","Indonesia"
"http://www.wikidata.org/entity/Q30599785","Afang","http://commons.wikimedia.org/wiki/Special:FilePath/Afang%20Soup.jpg","https://en.wikipedia.org/wiki/Afang_soup","http://www.wikidata.org/entity/Q1033","Nigeria"
"http://www.wikidata.org/entity/Q25055799","Afghan salad","http://commons.wikimedia.org/wiki/Special:FilePath/Afghan-Salad.JPG","https://en.wikipedia.org/wiki/Afghan_salad","http://www.wikidata.org/entity/Q889","Afghanistan"
"http://www.wikidata.org/entity/Q107358883","African Salad","http://commons.wikimedia.org/wiki/Special:FilePath/Abacha%20%28or%20Afrcan%20Salad%29.jpg","https://en.wikipedia.org/wiki/Abacha_(food)","http://www.wikidata.org/entity/Q1033","Nigeria"
"http://www.wikidata.org/entity/Q107357284","agidi","http://commons.wikimedia.org/wiki/Special:FilePath/Agidi.jpg","https://en.wikipedia.org/wiki/Agidi","http://www.wikidata.org/entity/Q1033","Nigeria"
"http://www.wikidata.org/entity/Q3606603","Agliata","http://commons.wikimedia.org/wiki/Special:FilePath/Fried%20cauliflower%20with%20agliata.jpg","https://en.wikipedia.org/wiki/Agliata","http://www.wikidata.org/entity/Q38","Italia"
"http://www.wikidata.org/entity/Q123441","Ahle Wurst","http://commons.wikimedia.org/wiki/Special:FilePath/Ahle%20Wurst.jpg","https://en.wikipedia.org/wiki/Ahle_Wurst","http://www.wikidata.org/entity/Q1199","Hessen"
"http://www.wikidata.org/entity/Q2827721","Ahriche","http://commons.wikimedia.org/wiki/Special:FilePath/Tahricht.jpg","https://en.wikipedia.org/wiki/Ahriche","http://www.wikidata.org/entity/Q1028","Marokko"
