item,itemLabel,image,article,rankArticle,manufacturerLabel,vehicleTypeLabel,productionStart,sitelinks,iconic,pageviews,imageAuthor,imageLicense,imageLicenseUrl
"http://www.wikidata.org/entity/Q2469805","Alfa Romeo 4C","http://commons.wikimedia.org/wiki/Special:FilePath/Festival%20automobile%20international%202014%20-%20Alfa%20Romeo%204C%20-%20033%20%28cropped%29.jpg","https://no.wikipedia.org/wiki/Alfa_Romeo_4C","https://no.wikipedia.org/wiki/Alfa_Romeo_4C","Alfa Romeo","Sportsbil","","25","0","95","Thesupermat","CC BY-SA 3.0","https://creativecommons.org/licenses/by-sa/3.0"
"http://www.wikidata.org/entity/Q1752108","Alfa Romeo 6C","http://commons.wikimedia.org/wiki/Special:FilePath/Alfa%20Romeo%206C%20Freccia%20d%27Oro%201949.jpg","https://no.wikipedia.org/wiki/Alfa_Romeo_6C","https://no.wikipedia.org/wiki/Alfa_Romeo_6C","Alfa Romeo","Sportsbil","","17","0","0","Palauenc05","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0"
"http://www.wikidata.org/entity/Q1472912","Alfa Romeo 8C","http://commons.wikimedia.org/wiki/Special:FilePath/1938%20Alfa%20Romeo%208C%202900%20Mille%20Miglia%2034%203.jpg","https://no.wikipedia.org/wiki/Alfa_Romeo_8C","https://no.wikipedia.org/wiki/Alfa_Romeo_8C","Alfa Romeo","Sportsbil","","20","0","37","Simon Davison from Los Gatos, United States","CC BY-SA 3.0","https://creativecommons.org/licenses/by-sa/3.0/"
"http://www.wikidata.org/entity/Q622479","Alfa Romeo 8C Competizione","http://commons.wikimedia.org/wiki/Special:FilePath/Alfa%20Romeo%208C%20Competizione%20MYLE%20Festival%202025%20DSC%209656.jpg","https://no.wikipedia.org/wiki/Alfa_Romeo_8C_Competizione","https://no.wikipedia.org/wiki/Alfa_Romeo_8C_Competizione","Alfa Romeo","Sportsbil","","23","0","57","Alexander Migl","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0"
"http://www.wikidata.org/entity/Q1133424","Alfa Romeo Brera","http://commons.wikimedia.org/wiki/Special:FilePath/2007%20Alfa%20Romeo%20Brera%20V6%20coupe%20%2823416268426%29.jpg","https://no.wikipedia.org/wiki/Alfa_Romeo_Brera","https://no.wikipedia.org/wiki/Alfa_Romeo_Brera","Alfa Romeo","Sportsbil","","27","0","50","Jeremy from Sydney, Australia","CC BY 2.0","https://creativecommons.org/licenses/by/2.0"
"http://www.wikidata.org/entity/Q1130996","Alfa Romeo GT","http://commons.wikimedia.org/wiki/Special:FilePath/Alfa%20Romeo%20GT%20black%20vl.jpg","https://no.wikipedia.org/wiki/Alfa_Romeo_GT","https://no.wikipedia.org/wiki/Alfa_Romeo_GT","Alfa Romeo","Sportsbil","","25","0","42","","CC BY-SA 3.0","https://creativecommons.org/licenses/by-sa/3.0/"
"http://www.wikidata.org/entity/Q224953","Alfa Romeo GTV (1995)","http://commons.wikimedia.org/wiki/Special:FilePath/Alfa%20Romeo%20Spider%20%28Type%20916%29.jpg","https://no.wikipedia.org/wiki/Alfa_Romeo_GTV_(1995)","https://no.wikipedia.org/wiki/Alfa_Romeo_GTV_(1995)","Alfa Romeo","Sportsbil","","24","0","48","","CC BY-SA 3.0","https://creativecommons.org/licenses/by-sa/3.0/"
"http://www.wikidata.org/entity/Q614521","Alfa Romeo Montreal","http://commons.wikimedia.org/wiki/Special:FilePath/Alfa%20Romeo%20Montreal%20GIMS%202024%20mod.jpg","https://no.wikipedia.org/wiki/Alfa_Romeo_Montreal","https://no.wikipedia.org/wiki/Alfa_Romeo_Montreal","Alfa Romeo","Sportsbil","","22","0","55","Matti Blume / Freisteller, Bildbearbeitung & Retusche von Auge=mit","CC BY-SA 3.0","https://creativecommons.org/licenses/by-sa/3.0"
"http://www.wikidata.org/entity/Q1477201","Alfa Romeo Spider","http://commons.wikimedia.org/wiki/Special:FilePath/1967-Alfa-Romeo-Duetto-Red-Front-Angle-st.jpg","https://no.wikipedia.org/wiki/Alfa_Romeo_Spider","https://no.wikipedia.org/wiki/Alfa_Romeo_Spider","Alfa Romeo","Sportsbil","","27","1","108","","CC BY-SA 3.0","https://creativecommons.org/licenses/by-sa/3.0/"
"http://www.wikidata.org/entity/Q780626","Alfa Romeo SZ","http://commons.wikimedia.org/wiki/Special:FilePath/Alfa%20SZ%20AutoItalia%20Brooklands%20May%202012%20THP%207123.jpg","https://no.wikipedia.org/wiki/Alfa_Romeo_SZ","https://no.wikipedia.org/wiki/Alfa_Romeo_SZ","Alfa Romeo","Sportsbil","","23","0","42","Tony Harrison","CC BY-SA 2.0","https://creativecommons.org/licenses/by-sa/2.0"
"http://www.wikidata.org/entity/Q741857","Alpine A110","http://commons.wikimedia.org/wiki/Special:FilePath/Alpine%20A110.jpg","https://no.wikipedia.org/wiki/Alpine_A110","https://no.wikipedia.org/wiki/Alpine_A110","Alpine","Sportsbil","1962-01-01T00:00:00Z","21","1","147","Karrmann","CC BY-SA 3.0","https://creativecommons.org/licenses/by-sa/3.0/"
"http://www.wikidata.org/entity/Q24936559","Alpine A110 (2017)","http://commons.wikimedia.org/wiki/Special:FilePath/Alpine%20A110%20Automesse%20Ludwigsburg%202024%20IMG%201563.jpg","https://no.wikipedia.org/wiki/Alpine_A110_(2017)","https://no.wikipedia.org/wiki/Alpine_A110_(2017)","Alpine","Sportsbil","","18","0","80","Alexander-93","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0"
"http://www.wikidata.org/entity/Q2217970","Ascari Ecosse","http://commons.wikimedia.org/wiki/Special:FilePath/Ascari%20Ecosse.jpg","https://no.wikipedia.org/wiki/Ascari_Ecosse","https://no.wikipedia.org/wiki/Ascari_Ecosse","Ascari","Sportsbil","","8","0","7","Darren","CC BY 2.0","https://creativecommons.org/licenses/by/2.0"
"http://www.wikidata.org/entity/Q679039","Ascari KZ1","http://commons.wikimedia.org/wiki/Special:FilePath/Ascari%20KZ1%20II.jpg","https://no.wikipedia.org/wiki/Ascari_KZ1","https://no.wikipedia.org/wiki/Ascari_KZ1","Ascari","Sportsbil","","16","0","6","Darren","CC BY 2.0","https://creativecommons.org/licenses/by/2.0"
"http://www.wikidata.org/entity/Q223599","Aston Martin DB AR1","http://commons.wikimedia.org/wiki/Special:FilePath/Aston%20Martin%20DB%20AR1.jpg","https://no.wikipedia.org/wiki/Aston_Martin_DB_AR1","https://no.wikipedia.org/wiki/Aston_Martin_DB_AR1","Aston Martin","Sportsbil","","12","0","9","","CC BY-SA 2.0","https://creativecommons.org/licenses/by-sa/2.0"
"http://www.wikidata.org/entity/Q2706028","Aston Martin DB Mark III","http://commons.wikimedia.org/wiki/Special:FilePath/1957%20Aston%20Martin%20DB%20Mk%20III%20fr.jpg","https://no.wikipedia.org/wiki/Aston_Martin_DB_Mark_III","https://no.wikipedia.org/wiki/Aston_Martin_DB_Mark_III","Aston Martin","Sportsbil","","11","0","9","Herranderssvensson","CC BY-SA 3.0","https://creativecommons.org/licenses/by-sa/3.0"
"http://www.wikidata.org/entity/Q749767","Aston Martin DB1","http://commons.wikimedia.org/wiki/Special:FilePath/Aston%20Martin%20DB1%2049104357091.jpg","https://no.wikipedia.org/wiki/Aston_Martin_DB1","https://no.wikipedia.org/wiki/Aston_Martin_DB1","Aston Martin","Sportsbil","","18","0","13","Andrew Bone","CC BY 2.0","https://creativecommons.org/licenses/by/2.0"
"http://www.wikidata.org/entity/Q23005955","Aston Martin DB11","http://commons.wikimedia.org/wiki/Special:FilePath/2018%20Aston%20Martin%20DB11%20Auto.jpg","https://no.wikipedia.org/wiki/Aston_Martin_DB11","https://no.wikipedia.org/wiki/Aston_Martin_DB11","Aston Martin","grand tourer","","25","0","28","Calreyn88","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0"
"http://www.wikidata.org/entity/Q283346","Aston Martin DB2","http://commons.wikimedia.org/wiki/Special:FilePath/DB2-Vantage-Seite-Vorn.jpg","https://no.wikipedia.org/wiki/Aston_Martin_DB2","https://no.wikipedia.org/wiki/Aston_Martin_DB2","Aston Martin","Sportsbil","","19","0","7","Chilterngreen at German Wikipedia Later version(s) were uploaded by Noddy93 at de.wikipedia . ( Original text: Michael Schäfer )","CC BY-SA 3.0","https://creativecommons.org/licenses/by-sa/3.0/"
"http://www.wikidata.org/entity/Q749805","Aston Martin DB2/4","http://commons.wikimedia.org/wiki/Special:FilePath/Aston%20Martin%20DB2-4.jpg","https://no.wikipedia.org/wiki/Aston_Martin_DB2/4","https://no.wikipedia.org/wiki/Aston_Martin_DB2/4","Aston Martin","Sportsbil","","14","0","8","Herranderssvensson","CC BY-SA 3.0","https://creativecommons.org/licenses/by-sa/3.0"
"http://www.wikidata.org/entity/Q290857","Aston Martin DB4","http://commons.wikimedia.org/wiki/Special:FilePath/Aston%20Martin%20DB%204%2C%20Bj.%201960%20%282008-06-28%29.JPG","https://no.wikipedia.org/wiki/Aston_Martin_DB4","https://no.wikipedia.org/wiki/Aston_Martin_DB4","Aston Martin","Sportsbil","","20","0","26","Lothar Spurzem","CC BY-SA 2.0 de","https://creativecommons.org/licenses/by-sa/2.0/de/deed.en"
"http://www.wikidata.org/entity/Q749853","Aston Martin DB4 GT Zagato","http://commons.wikimedia.org/wiki/Special:FilePath/DB4GT%20Zagato%20at%20Goodwood.jpg","https://no.wikipedia.org/wiki/Aston_Martin_DB4_GT_Zagato","https://no.wikipedia.org/wiki/Aston_Martin_DB4_GT_Zagato","Aston Martin","Sportsbil","","15","0","12","Brian Snelson from Hockley, Essex, England","CC BY 2.0","https://creativecommons.org/licenses/by/2.0"
"http://www.wikidata.org/entity/Q749871","Aston Martin DB5","http://commons.wikimedia.org/wiki/Special:FilePath/1964%20Aston%20Martin%20DB5%20LC23.jpg","https://no.wikipedia.org/wiki/Aston_Martin_DB5","https://no.wikipedia.org/wiki/Aston_Martin_DB5","Aston Martin","grand tourer","","31","1","66","MrWalkr","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0"
"http://www.wikidata.org/entity/Q749880","Aston Martin DB6","http://commons.wikimedia.org/wiki/Special:FilePath/Aston%20Martin%20DB6%20Volante%20%2865405%29.jpg","https://no.wikipedia.org/wiki/Aston_Martin_DB6","https://no.wikipedia.org/wiki/Aston_Martin_DB6","Aston Martin","grand tourer","","17","0","28","Calreyn88","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0"
"http://www.wikidata.org/entity/Q507385","Aston Martin DB7","http://commons.wikimedia.org/wiki/Special:FilePath/1997%20Aston%20Martin%20DB7%20Auto%202.jpg","https://no.wikipedia.org/wiki/Aston_Martin_DB7","https://no.wikipedia.org/wiki/Aston_Martin_DB7","Aston Martin","Sportsbil","","21","0","0","Calreyn88","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0"
"http://www.wikidata.org/entity/Q749935","Aston Martin DB9","http://commons.wikimedia.org/wiki/Special:FilePath/2007%20Aston%20Martin%20DB9%20Volante%20Auto.jpg","https://no.wikipedia.org/wiki/Aston_Martin_DB9","https://no.wikipedia.org/wiki/Aston_Martin_DB9","Aston Martin","Sportsbil","","28","0","82","Calreyn88","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0"
"http://www.wikidata.org/entity/Q181496","Aston Martin DBS","http://commons.wikimedia.org/wiki/Special:FilePath/AstonMartinDB-S-1969-avant.jpg","https://no.wikipedia.org/wiki/Aston_Martin_DBS","https://no.wikipedia.org/wiki/Aston_Martin_DBS","Aston Martin","Sportsbil","","19","0","17","Rundvald","Public domain",""
"http://www.wikidata.org/entity/Q204633","Aston Martin DBS V12","http://commons.wikimedia.org/wiki/Special:FilePath/2008%20Aston%20Martin%20DBS%20V12%20Coupe%20%2825819693093%29.jpg","https://no.wikipedia.org/wiki/Aston_Martin_DBS_V12","https://no.wikipedia.org/wiki/Aston_Martin_DBS_V12","Aston Martin","Sportsbil","","24","0","24","Sicnag","CC BY 2.0","https://creativecommons.org/licenses/by/2.0"
"http://www.wikidata.org/entity/Q750019","Aston Martin V12 Vanquish","http://commons.wikimedia.org/wiki/Special:FilePath/Aston%20Martin%20Vanquish%20%282024%29%20DSC%207892.jpg","https://no.wikipedia.org/wiki/Aston_Martin_V12_Vanquish","https://no.wikipedia.org/wiki/Aston_Martin_V12_Vanquish","Aston Martin","Sportsbil","","25","0","32","Alexander Migl","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0"
"http://www.wikidata.org/entity/Q510849","Aston Martin V8","http://commons.wikimedia.org/wiki/Special:FilePath/1978%20Aston%20Martin%20V8%20%28Series%203%29%205340%20cc%20at%20Horsham%20English%20Festival%202018%20a.jpg","https://no.wikipedia.org/wiki/Aston_Martin_V8","https://no.wikipedia.org/wiki/Aston_Martin_V8","Aston Martin","grand tourer","","17","0","57","Acabashi","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0"
"http://www.wikidata.org/entity/Q750039","Aston Martin V8 Vantage (2005)","http://commons.wikimedia.org/wiki/Special:FilePath/Aston%20Martin%20V8%20Vantage%20Roadster%20IMG%208846%20%28cropped%29.jpg","https://no.wikipedia.org/wiki/Aston_Martin_V8_Vantage_(2005)","https://no.wikipedia.org/wiki/Aston_Martin_V8_Vantage_(2005)","Aston Martin","Sportsbil","","26","0","37","Alexander-93","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0"
"http://www.wikidata.org/entity/Q28402601","Aston Martin Valkyrie","http://commons.wikimedia.org/wiki/Special:FilePath/2019%20Aston%20Martin%20Valkyrie%20AMR%20Pro%206.5%20Front.jpg","https://no.wikipedia.org/wiki/Aston_Martin_Valkyrie","https://no.wikipedia.org/wiki/Aston_Martin_Valkyrie","Aston Martin","superbil","","21","0","70","Vauxford","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0"
"http://www.wikidata.org/entity/Q750050","Aston Martin Vantage","http://commons.wikimedia.org/wiki/Special:FilePath/Aston-Martin%20Vantage%20%281973%29%20%2834328531642%29.jpg","https://no.wikipedia.org/wiki/Aston_Martin_Vantage","https://no.wikipedia.org/wiki/Aston_Martin_Vantage","Aston Martin","grand tourer","","13","0","30","Andrew Bone from Weymouth, England","CC BY 2.0","https://creativecommons.org/licenses/by/2.0"
"http://www.wikidata.org/entity/Q43452497","Aston Martin Vantage (2018)","http://commons.wikimedia.org/wiki/Special:FilePath/Aston%20Martin%20Vantage%20%282024%29%20IMG%200002.jpg","https://no.wikipedia.org/wiki/Aston_Martin_Vantage_(2018)","https://no.wikipedia.org/wiki/Aston_Martin_Vantage_(2018)","Aston Martin","Sportsbil","","13","0","14","Alexander-93","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0"
"http://www.wikidata.org/entity/Q750056","Aston Martin Virage","http://commons.wikimedia.org/wiki/Special:FilePath/Aston%20Martin%20Virage.jpg","https://no.wikipedia.org/wiki/Aston_Martin_Virage","https://no.wikipedia.org/wiki/Aston_Martin_Virage","Aston Martin","grand tourer","","19","0","22","Ben from Weert, Netherlands; cropped by uploader Mr.choppers","CC BY 2.0","https://creativecommons.org/licenses/by/2.0"
"http://www.wikidata.org/entity/Q275632","Audi S2","http://commons.wikimedia.org/wiki/Special:FilePath/Audi%20S2%20green.jpg","https://no.wikipedia.org/wiki/Audi_S2","https://no.wikipedia.org/wiki/Audi_S2","Audi","Sportsbil","","15","0","75","Dbanes at English Wikipedia","Public domain",""
"http://www.wikidata.org/entity/Q2453030","Bentley 4½ Litre","http://commons.wikimedia.org/wiki/Special:FilePath/Bentley%204%C2%BD%20Litre%20-%2020090924.jpg","https://no.wikipedia.org/wiki/Bentley_4%C2%BD_Litre","https://no.wikipedia.org/wiki/Bentley_4%C2%BD_Litre","Bentley","Sportsbil","","17","1","11","Sémhur","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0"
"http://www.wikidata.org/entity/Q4919450","Bizzarrini Europa","http://commons.wikimedia.org/wiki/Special:FilePath/Bizzarrini%201900%20GT%20Europa.jpg","https://no.wikipedia.org/wiki/Bizzarrini_Europa","https://no.wikipedia.org/wiki/Bizzarrini_Europa","Bizzarrini","grand tourer","1966-01-01T00:00:00Z","4","0","10","LivornoDP","CC BY-SA 3.0","https://creativecommons.org/licenses/by-sa/3.0"
"http://www.wikidata.org/entity/Q463461","Blitzen Benz","http://commons.wikimedia.org/wiki/Special:FilePath/Paris%20-%20Retromobile%202013%20-%20Blitzen%20Benz%20-%201909%20-%20006.jpg","https://no.wikipedia.org/wiki/Blitzen_Benz","https://no.wikipedia.org/wiki/Blitzen_Benz","Benz & Cie.","Sportsbil","","16","1","13","Thesupermat","CC BY-SA 3.0","https://creativecommons.org/licenses/by-sa/3.0"
"http://www.wikidata.org/entity/Q796403","BMW 328","http://commons.wikimedia.org/wiki/Special:FilePath/Bmw%20328.jpg","https://no.wikipedia.org/wiki/BMW_328","https://no.wikipedia.org/wiki/BMW_328","BMW","Sportsbil","","22","0","36","Softeis","CC BY-SA 3.0","https://creativecommons.org/licenses/by-sa/3.0/"
"http://www.wikidata.org/entity/Q796414","BMW 507","http://commons.wikimedia.org/wiki/Special:FilePath/BMW%20507.jpg","https://no.wikipedia.org/wiki/BMW_507","https://no.wikipedia.org/wiki/BMW_507","BMW","grand tourer","","22","1","34","Stefan Krause, Germany","CC BY-SA 3.0","https://creativecommons.org/licenses/by-sa/3.0"
