item,itemLabel,image,article,opphav,imageAuthor,imageLicense,imageLicenseUrl
"http://www.wikidata.org/entity/Q174396","Alv","http://commons.wikimedia.org/wiki/Special:FilePath/Martin%20Brandenburg%20Elfenreigen%20c1906-1909.jpg","https://nn.wikipedia.org/wiki/Alv","Norrøn mytologi","Martin Brandenburg","Public domain",""
"http://www.wikidata.org/entity/Q215041","Audhumbla","http://commons.wikimedia.org/wiki/Special:FilePath/S%C3%81M%2066%2C%2074r%2C%20Au%C3%B0umbla%20and%20B%C3%BAri.jpg","https://nn.wikipedia.org/wiki/Audhumbla","Norrøn mytologi","Jakob Sigurðsson","Public domain",""
"http://www.wikidata.org/entity/Q1255927","Draugen","http://commons.wikimedia.org/wiki/Special:FilePath/Landdraug%20vs%20seadraug%20%28cropped%29.png","https://nn.wikipedia.org/wiki/Draugen","Norsk folketru","Kim Diaz Holm","CC BY 4.0","https://creativecommons.org/licenses/by/4.0"
"http://www.wikidata.org/entity/Q214045","Dverg","http://commons.wikimedia.org/wiki/Special:FilePath/Dwarf%20by%20BrokenMachine86.jpg","https://no.wikipedia.org/wiki/Dverg_(mytologi)","Norrøn mytologi","Heraldo Mussolini (BrokenMachine86) - brokenmachine86.deviantart.com","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0"
"http://www.wikidata.org/entity/Q1303861","Eiktyrne","http://commons.wikimedia.org/wiki/Special:FilePath/AM%20738%204to%20Eikthyrnir%20Heidrun.jpg","https://nn.wikipedia.org/wiki/Eiktyrne","Norrøn mytologi","","Public domain",""
"http://www.wikidata.org/entity/Q182560","Fenrisulven","http://commons.wikimedia.org/wiki/Special:FilePath/Fenrir%20bound%20manuscript%20image.jpg","https://nn.wikipedia.org/wiki/Fenresulven","Norrøn mytologi","","Public domain",""
"http://www.wikidata.org/entity/Q11212034","Fossegrimen","http://commons.wikimedia.org/wiki/Special:FilePath/Bergslien%20Fossegrimen.jpg","https://nn.wikipedia.org/wiki/Fossegrimen","Norsk folketru","Nils Bergslien","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0"
"http://www.wikidata.org/entity/Q745315","Fåvne","http://commons.wikimedia.org/wiki/Special:FilePath/Siegfried%20and%20the%20Twilight%20of%20the%20Gods%20p%20022.jpg","https://no.wikipedia.org/wiki/F%C3%A5vne","Norrøn mytologi","Arthur Rackham","Public domain",""
"http://www.wikidata.org/entity/Q213932","Garm","http://commons.wikimedia.org/wiki/Special:FilePath/Hel-Johannes%20Gehrts.jpg","https://nn.wikipedia.org/wiki/Garm","Norrøn mytologi","Johannes Gehrts","Public domain",""
"http://www.wikidata.org/entity/Q1200682","Gullfakse","http://commons.wikimedia.org/wiki/Special:FilePath/Gullfaxi.jpg","https://no.wikipedia.org/wiki/Gullfakse","Norrøn mytologi","Tsaag Valren","CC BY-SA 3.0","https://creativecommons.org/licenses/by-sa/3.0"
"http://www.wikidata.org/entity/Q1803053","Hafgufa","http://commons.wikimedia.org/wiki/Special:FilePath/Aspidochelone2-gks1633-danish-royal-library.jpg","https://no.wikipedia.org/wiki/Hafgufa","Norrøn mytologi","Anonymous Unknown author","Public domain",""
"http://www.wikidata.org/entity/Q182559","Havfrue","http://commons.wikimedia.org/wiki/Special:FilePath/Mermaid%20-%20cover%20-%20Merman%20%26%20mermaid%2C%20grand%20operatic%20phantasmagoria.png","https://nn.wikipedia.org/wiki/Havfrue","Norsk folketru","Uncredited","Public domain",""
"http://www.wikidata.org/entity/Q4995044","Havmann","http://commons.wikimedia.org/wiki/Special:FilePath/Merman%20-%20cover%20-%20Merman%20%26%20mermaid%2C%20grand%20operatic%20phantasmagoria.png","https://no.wikipedia.org/wiki/Havmann","Norsk folketru","Uncredited","Public domain",""
"http://www.wikidata.org/entity/Q207041","Hugin og Munin","http://commons.wikimedia.org/wiki/Special:FilePath/Odin%20hrafnar.jpg","https://nn.wikipedia.org/wiki/Hugin_og_Munin","Norrøn mytologi","user:Ranveig","Public domain",""
"http://www.wikidata.org/entity/Q2328818","Huldra","http://commons.wikimedia.org/wiki/Special:FilePath/Huldra-Theodor%20Kittelsen.jpg","https://nn.wikipedia.org/wiki/Huldra","Norsk folketru","Theodor Kittelsen","Public domain",""
"http://www.wikidata.org/entity/Q2457508","Huldrefolk","http://commons.wikimedia.org/wiki/Special:FilePath/Jumping%20after%20Hildur.jpg","https://nn.wikipedia.org/wiki/Huldrefolk","Norsk folketru","George Pearson","Public domain",""
"http://www.wikidata.org/entity/Q193165","Kraken","http://commons.wikimedia.org/wiki/Special:FilePath/Colossal%20octopus%20by%20Pierre%20Denys%20de%20Montfort.jpg","https://nn.wikipedia.org/wiki/Kraken","Norsk folketru","en:Pierre Denys de Montfort / fr:Etienne Claude Voysard","Public domain",""
"http://www.wikidata.org/entity/Q1262457","Mare","http://commons.wikimedia.org/wiki/Special:FilePath/John%20Henry%20Fuseli%20-%20The%20Nightmare.JPG","https://nn.wikipedia.org/wiki/Mare","Norsk folketru","Henry Fuseli","Public domain",""
"http://www.wikidata.org/entity/Q181227","Midgardsormen","http://commons.wikimedia.org/wiki/Special:FilePath/The%20children%20of%20Loki%20by%20Willy%20Pogany.png","https://nn.wikipedia.org/wiki/Midgardsormen","Norrøn mytologi","Willy Pogany","Public domain",""
